"Participant","Gender","Condition","Age","VAR00002","Age_In_Months","AgeGroup","Competent_Model","MajorityBias","CompetenceBias","CopyModel","CopyMajority","FirstTrial_Model","SecondTrial_Model","FirstTrial_Majority","SecondTrial_Majority","FirstTrialCount_NumberOfTimesImitatedAction","SecondTrialCount_NumberOfTimesImitatedAction","OverallCount","CountMatch","LastQuestionLastModel","CountmatchFirstTrial","CountMatchSecondTrial","Slot_CompBias","Slot_MajBias","Slot_CountMatch","Slot_CountFreq","Cube_CompBias","Cube_MajBias","Cube_CountMatch","Cube_CountFreq","OverImitationIndex","Slot_OverImitationIndex","Cube_OverImitationIndex","Slot_Rationale_Category","Cube_Rational_Category","FlaggedData","VAR00004","filter_$","AverageOverallCount","OverallCount_Rounded","FirstTrialCount_Rounded","SecondTrialCount_Rounded","FirstTrial_LevOfImitation","SecondTrial_LevOfImitation","In_or_Efficient_copiers"
"3391",2,3,5,5,65,1,1,0,2,1,0,1,1,0,0,3,3,6,0,1,0,0,1,0,0,3,1,0,0,3,NA,NA,NA,4,4,0,1,1,3,NA,3,3,3,3,2
"3392",2,3,4,4,50,1,3,0,2,1,0,1,1,0,0,1,1,2,2,1,0,0,1,0,0,1,1,0,0,1,NA,NA,NA,5,5,0,1,1,1,2,1,1,1,1,1
"3393",2,3,4,4,59,1,2,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,5,3,1,1,1,2,4,2,2,2,2,2
"3394",1,NA,4,4,48,1,4,1,1,0,0,0,1,1,0,2,2,4,2,1,1,1,1,0,1,2,0,1,1,2,NA,NA,NA,4,4,0,NA,NA,2,4,2,2,2,2,2
"3395",1,3,4,4,48,1,3,2,0,0,1,0,0,1,1,1,2,3,1,1,0,2,0,1,0,1,0,1,1,2,NA,NA,NA,5,5,0,1,1,1.5,3,1,2,1,2,2
"3396",1,3,4,4,54,1,1,2,0,0,1,0,0,1,1,4,5,9,0,1,0,0,0,1,0,5,0,1,0,5,NA,NA,NA,1,1,0,1,1,4.5,NA,4,5,3,3,2
"3397",2,3,6,6,81,2,2,2,0,0,1,0,0,1,1,2,1,3,1,1,1,0,0,1,0,1,0,1,1,2,NA,NA,NA,4,5,0,1,1,1.5,3,2,1,2,1,2
"3398",1,3,6,6,73,2,4,0,2,1,0,1,1,0,0,1,2,3,1,1,0,1,1,0,0,1,1,0,1,2,NA,NA,NA,4,4,0,1,1,1.5,3,1,2,1,2,2
"3399",2,3,6,6,73,2,3,2,0,0,1,0,0,1,1,3,1,4,0,1,0,0,0,1,0,1,0,1,0,3,NA,NA,NA,4,4,0,1,1,2,4,3,1,3,1,2
"3400",2,3,6,6,76,2,1,0,2,1,0,1,1,0,0,2,1,3,1,1,1,0,1,0,1,2,1,0,0,1,NA,NA,NA,3,3,0,1,1,1.5,3,2,1,2,1,2
"3401",2,3,5,5,61,1,3,2,0,0,1,0,0,1,1,2,2,4,1,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,5,5,NA,NA,1,2,4,2,2,2,2,2
"3402",1,3,7,7,86,2,1,0,2,1,0,1,1,0,0,2,2,4,1,0,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,2,1,NA,NA,1,2,4,2,2,2,2,2
